Titre,Artiste,Mapper,Date de création,Date de ranked,État de la carte,Nominator,Genre,Langue,Playcount,Likes,Length,BPM,Circle Count,Slider Count,Circle Size,HP Drain,Accuracy,Approach Rate,Star Rating,Game Mode,Difficultés,URL
Get High,F.I.R.,redfox19920501,2008-07-07,2008-07-21,CIMETIÈRE,,Tous,Non spécifiée,0,1,3:29,"132,04",235,26,6,6,5,5,"2,96",osu,Difficulty 3,https://osu.ppy.sh/beatmapsets/1964
Get High,F.I.R.,redfox19920501,2008-07-07,2008-07-21,CIMETIÈRE,,Tous,Non spécifiée,0,1,3:29,"132,04",299,30,6,6,5,5,"3,20",osu,Difficulty 4,https://osu.ppy.sh/beatmapsets/1964
LOVE I-N-G,Mayday,redfox19920501,2008-07-07,2008-12-23,CIMETIÈRE,,Tous,Non spécifiée,0,13,2:45,"196,95",38,35,3,3,3,3,"1,45",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1965
LOVE I-N-G,Mayday,redfox19920501,2008-07-07,2008-12-23,CIMETIÈRE,,Tous,Non spécifiée,0,13,2:45,"196,95",120,36,4,5,5,5,"2,17",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/1965
LOVE I-N-G,Mayday,redfox19920501,2008-07-07,2008-12-23,CIMETIÈRE,,Tous,Non spécifiée,0,13,2:45,"196,95",167,26,5,5,5,5,"2,38",osu,Difficulty 3,https://osu.ppy.sh/beatmapsets/1965
LOVE I-N-G,Mayday,redfox19920501,2008-07-07,2008-12-23,CIMETIÈRE,,Tous,Non spécifiée,0,13,2:45,"196,95",209,35,5,6,6,6,"2,74",osu,Difficulty 4,https://osu.ppy.sh/beatmapsets/1965
LOVE I-N-G,Mayday,redfox19920501,2008-07-07,2008-12-23,CIMETIÈRE,,Tous,Non spécifiée,0,13,2:44,"196,95",271,42,6,7,8,8,"3,20",osu,Difficulty 5,https://osu.ppy.sh/beatmapsets/1965
From Yesterday,30 Seconds to Mars,killedGeorgeShrink,2008-07-07,2008-07-07,CIMETIÈRE,,Tous,Non spécifiée,0,1,3:58,"137,18",55,32,0,0,0,0,"1,41",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1966
From Yesterday,30 Seconds to Mars,killedGeorgeShrink,2008-07-07,2008-07-07,CIMETIÈRE,,Tous,Non spécifiée,0,1,3:51,135,93,26,3,3,3,3,"1,93",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/1966
From Yesterday,30 Seconds to Mars,killedGeorgeShrink,2008-07-07,2008-07-07,CIMETIÈRE,,Tous,Non spécifiée,0,1,4:00,135,143,90,4,5,5,5,"2,62",osu,Difficulty 3,https://osu.ppy.sh/beatmapsets/1966
From Yesterday,30 Seconds to Mars,killedGeorgeShrink,2008-07-07,2008-07-07,CIMETIÈRE,,Tous,Non spécifiée,0,1,4:00,135,167,83,5,8,7,7,"2,83",osu,Difficulty 4,https://osu.ppy.sh/beatmapsets/1966
Leap the precipice,Motoi Sakuraba,LadySuburu,2008-07-07,2008-07-12,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,1:34,85,105,15,2,4,3,3,"1,85",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1967
Leap the precipice,Motoi Sakuraba,LadySuburu,2008-07-07,2008-07-12,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,1:34,85,180,11,5,5,5,5,"2,55",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/1967
Leap the precipice,Motoi Sakuraba,LadySuburu,2008-07-07,2008-07-12,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,1:44,85,257,12,6,5,8,8,"3,63",osu,Difficulty 3,https://osu.ppy.sh/beatmapsets/1967
Leap the precipice,Motoi Sakuraba,LadySuburu,2008-07-07,2008-07-12,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,1:44,85,257,12,6,5,8,8,"4,61",osu,Difficulty 4,https://osu.ppy.sh/beatmapsets/1967
